Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	br_lengths[30]	br_lengths[31]	br_lengths[32]	br_lengths[33]	br_lengths[34]	br_lengths[35]	br_lengths[36]	br_lengths[37]	br_lengths[38]	br_lengths[39]	br_lengths[40]	br_lengths[41]	br_lengths[42]	br_lengths[43]	br_lengths[44]	br_lengths[45]	br_lengths[46]	br_lengths[47]	br_lengths[48]	br_lengths[49]	br_lengths[50]	br_lengths[51]	br_lengths[52]	br_lengths[53]	br_lengths[54]	br_lengths[55]	br_lengths[56]	br_lengths[57]	br_lengths[58]	br_lengths[59]	br_lengths[60]	br_lengths[61]	br_lengths[62]	br_lengths[63]	br_lengths[64]	br_lengths[65]	br_lengths[66]	br_lengths[67]	br_lengths[68]	br_lengths[69]	br_lengths[70]	br_lengths[71]	br_lengths[72]	br_lengths[73]	br_lengths[74]	br_lengths[75]	br_lengths[76]	br_lengths[77]	br_lengths[78]	br_lengths[79]	br_lengths[80]	br_lengths[81]	br_lengths[82]	br_lengths[83]	br_lengths[84]	br_lengths[85]	br_lengths[86]	br_lengths[87]	br_lengths[88]	br_lengths[89]	br_lengths[90]	br_lengths[91]	muNeo	rate01	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	rel_br_lengths[30]	rel_br_lengths[31]	rel_br_lengths[32]	rel_br_lengths[33]	rel_br_lengths[34]	rel_br_lengths[35]	rel_br_lengths[36]	rel_br_lengths[37]	rel_br_lengths[38]	rel_br_lengths[39]	rel_br_lengths[40]	rel_br_lengths[41]	rel_br_lengths[42]	rel_br_lengths[43]	rel_br_lengths[44]	rel_br_lengths[45]	rel_br_lengths[46]	rel_br_lengths[47]	rel_br_lengths[48]	rel_br_lengths[49]	rel_br_lengths[50]	rel_br_lengths[51]	rel_br_lengths[52]	rel_br_lengths[53]	rel_br_lengths[54]	rel_br_lengths[55]	rel_br_lengths[56]	rel_br_lengths[57]	rel_br_lengths[58]	rel_br_lengths[59]	rel_br_lengths[60]	rel_br_lengths[61]	rel_br_lengths[62]	rel_br_lengths[63]	rel_br_lengths[64]	rel_br_lengths[65]	rel_br_lengths[66]	rel_br_lengths[67]	rel_br_lengths[68]	rel_br_lengths[69]	rel_br_lengths[70]	rel_br_lengths[71]	rel_br_lengths[72]	rel_br_lengths[73]	rel_br_lengths[74]	rel_br_lengths[75]	rel_br_lengths[76]	rel_br_lengths[77]	rel_br_lengths[78]	rel_br_lengths[79]	rel_br_lengths[80]	rel_br_lengths[81]	rel_br_lengths[82]	rel_br_lengths[83]	rel_br_lengths[84]	rel_br_lengths[85]	rel_br_lengths[86]	rel_br_lengths[87]	rel_br_lengths[88]	rel_br_lengths[89]	rel_br_lengths[90]	rel_br_lengths[91]	scale	stationaryDist[1]	stationaryDist[2]	tree_length
0	-429.7121	-586.7943	157.0823	0.00310962	0.022816	0.00689142	0.00844417	0.000450852	0.00355506	0.00245564	0.00324025	0.0172483	0.00363138	0.000300891	0.00694304	0.0205835	0.00376442	0.00507351	0.00804926	0.00309345	0.00401662	0.00408608	0.00582885	0.00369729	0.00263563	0.000494791	0.0122715	0.00222267	0.00115772	0.00056157	0.00164326	0.00876834	8.00742e-05	0.000722373	0.00185938	0.00426901	0.000632736	0.000163911	0.00733491	0.0144203	0.00727855	0.00159703	0.00277043	1.76737e-05	0.00251909	0.00863809	0.00237047	0.00284125	0.00661693	0.00349379	0.0129389	0.0108649	0.00864561	0.00464338	0.012796	0.000528646	0.0078454	0.000907395	0.00208103	0.000444329	0.00536039	0.00210423	0.00935856	0.060702	0.0121006	0.00682465	0.00677246	0.0145143	0.00378098	0.00293236	0.00044554	0.00053753	0.00571264	0.00218429	0.00351928	0.0094632	0.00822368	1.98407e-05	0.0116378	0.00129146	0.00118608	0.00147073	0.00451065	0.00381685	0.00325121	0.00578612	0.0288452	0.000833502	0.00221833	0.0015499	0.00827924	0.00743653	0.0169065	0.00715304	0.5183363	0.349834	0.046365	0.223613	0.626693	1.59568	4.47201	21.568	2.220697	0.00558194	0.0409559	0.0123705	0.0151577	0.000809304	0.00638153	0.004408	0.00581643	0.0309617	0.00651852	0.000540115	0.0124631	0.0369486	0.00675734	0.00910723	0.0144489	0.00555291	0.00721005	0.00733474	0.0104631	0.00663683	0.00473109	0.000888176	0.0220281	0.0039898	0.00207818	0.00100805	0.00294975	0.0157396	0.000143738	0.0012967	0.00333768	0.00766311	0.0011358	0.000294229	0.0131666	0.0258852	0.0130654	0.00286675	0.00497308	3.17253e-05	0.00452191	0.0155058	0.00425511	0.0051002	0.0118777	0.00627154	0.023226	0.0195031	0.0155193	0.00833512	0.0229694	0.000948949	0.0140829	0.00162882	0.00373555	0.000797595	0.00962219	0.00377721	0.0167991	0.108963	0.0217213	0.0122506	0.0121569	0.026054	0.00678707	0.00526375	0.000799768	0.000964895	0.0102545	0.00392092	0.0063173	0.016987	0.014762	3.56152e-05	0.0208905	0.00231825	0.00212907	0.00264004	0.00809685	0.00685146	0.00583609	0.0103864	0.0517786	0.00149618	0.00398202	0.00278215	0.0148617	0.013349	0.030348	0.0128401	1.075549	0.740832	0.259168	0.5570863
36	-432.2072	-589.3157	157.1085	0.00055146	0.0363965	0.00651536	0.00731031	0.000783349	0.00165988	0.00559012	0.00836199	0.0216767	0.00594295	0.00503415	0.00704001	0.00568676	0.00134106	0.00350645	0.0108089	0.00573606	0.00384393	0.00437232	0.0209611	0.00349876	0.00325204	7.13951e-05	0.0193337	0.00321051	0.00772849	5.04873e-05	0.00354807	0.0171735	0.015424	0.00438807	0.00190994	0.00043738	0.00405889	0.00113007	0.00912806	0.00610705	0.00294928	0.0016943	0.00400572	0.00199365	0.00561197	0.00263573	0.00278222	0.00159304	0.0133132	0.0141413	0.0129328	0.00986778	0.00337359	0.0044728	0.0199737	0.000875634	0.00423403	0.00284341	0.00120293	2.36612e-05	0.00286309	0.00898992	0.00465899	0.0560011	0.0147041	0.0196911	0.00220892	0.0173335	0.0170514	0.00223799	0.00153152	0.000211603	0.00615612	0.00528917	0.00560085	0.00366868	0.00186458	2.93146e-05	0.00500483	0.00312471	0.000903424	0.0103471	0.00074057	0.00197887	0.00572594	0.00992768	0.0142716	0.00984951	0.00849193	0.00967605	0.0107618	0.00166139	0.00926543	0.0215941	0.4682545	0.3057	0.0444228	0.218995	0.622626	1.6061	4.56632	22.511	2.251639	0.000826148	0.0545259	0.00976074	0.0109517	0.00117354	0.00248668	0.00837462	0.0125272	0.0324741	0.0089032	0.00754172	0.0105467	0.00851939	0.00200906	0.00525306	0.0161929	0.00859325	0.00575864	0.00655023	0.0314021	0.00524153	0.00487192	0.000106958	0.028964	0.0048097	0.0115781	7.56356e-05	0.00531541	0.0257278	0.0231069	0.00657381	0.00286131	0.000655243	0.00608067	0.00169298	0.0136748	0.00914904	0.00441834	0.00253824	0.00600101	0.00298671	0.00840735	0.00394861	0.00416807	0.00238655	0.0199447	0.0211852	0.0193748	0.014783	0.00505401	0.00670075	0.0299229	0.0013118	0.00634305	0.00425974	0.00180212	3.5447e-05	0.00428923	0.0134679	0.00697969	0.0838958	0.0220283	0.0294994	0.00330921	0.0259675	0.0255449	0.00335276	0.00229438	0.000317004	0.00922255	0.00792376	0.00839069	0.00549608	0.00279335	4.39166e-05	0.00749779	0.00468116	0.00135343	0.0155011	0.00110946	0.00296456	0.00857808	0.0148728	0.0213805	0.0147556	0.0127219	0.0144958	0.0161224	0.00248894	0.0138806	0.0323503	1.084065	0.765873	0.234127	0.6675074
72	-427.94	-584.6236	156.6836	0.00134428	0.00565731	0.00787222	0.00348614	0.0017345	0.0020097	0.00322482	0.0239946	0.0167427	0.0110483	0.00614662	0.00518625	0.021675	0.00525089	0.00631257	0.0378666	0.0069924	0.00779641	0.016929	0.00654366	0.0123183	0.00936813	0.0129297	0.0123914	0.00215798	0.00253213	0.00945762	0.000766412	0.0238744	0.00779601	0.0071205	0.00186845	0.000512772	0.00988912	0.00291879	0.0143925	0.00188097	0.00241697	0.0205081	0.00110754	0.00215614	0.0041185	0.0163329	0.0169878	0.0135732	0.0103998	0.0168297	0.00946365	0.0247695	0.0129251	0.00450509	0.0891297	0.0407939	0.0243216	0.017229	0.00900017	0.000183837	0.000405609	0.0535937	0.00149271	0.106715	0.0136313	0.0323405	0.00810544	0.0151255	0.0406978	0.0196107	0.00160737	0.00522234	0.00418843	0.0266108	0.00249701	0.0239749	0.0216776	5.51996e-05	0.0116332	0.00240045	0.000490587	0.00522346	0.0038995	0.000296976	0.0220723	0.0139966	0.00920432	0.00535712	0.00367594	0.0125583	0.0261879	0.00312837	0.007524	0.0189803	0.633427	0.463515	0.0728367	0.278718	0.671277	1.4897	3.58785	13.7293	1.894104	0.00112877	0.00475036	0.00661019	0.00292726	0.00145644	0.00168751	0.00270783	0.0201479	0.0140586	0.00927707	0.00516122	0.00435482	0.0182002	0.00440909	0.00530057	0.031796	0.00587142	0.00654653	0.014215	0.00549462	0.0103435	0.00786628	0.0108569	0.0104049	0.00181202	0.00212619	0.00794142	0.000643544	0.0200469	0.00654619	0.00597898	0.00156891	0.000430567	0.00830375	0.00245086	0.0120852	0.00157943	0.00202949	0.0172203	0.000929983	0.00181048	0.00345824	0.0137145	0.0142644	0.0113972	0.00873256	0.0141317	0.00794648	0.0207986	0.010853	0.00378286	0.0748409	0.034254	0.0204225	0.0144669	0.0075573	0.000154365	0.000340584	0.0450019	0.0012534	0.0896072	0.011446	0.0271559	0.00680602	0.0127006	0.0341733	0.0164669	0.00134968	0.00438512	0.00351696	0.0223447	0.0020967	0.0201313	0.0182024	4.63502e-05	0.00976819	0.00201562	0.000411938	0.00438606	0.00327435	0.000249367	0.0185338	0.0117527	0.00772873	0.00449829	0.00308663	0.010545	0.0219896	0.00262685	0.00631779	0.0159375	1.056478	0.683286	0.316714	1.190923
108	-447.9165	-603.4952	155.5787	0.00133013	0.0263597	0.0111401	0.0111974	0.00287918	0.000794602	0.0002897	0.0126107	0.0194311	0.0011261	0.00719531	0.00268012	0.00370452	0.00123572	0.00583113	0.0153933	0.00787918	0.00191666	0.00776592	0.0191871	0.00145818	0.00632358	0.00793341	0.0162348	0.00673782	0.011242	0.00810396	0.0027444	0.000119265	0.0045328	0.00203058	0.000559817	0.000987745	0.000202644	0.00840996	0.0123584	0.00462267	0.000413326	0.0142174	0.00133541	0.00238267	0.00136891	0.00342335	0.00622313	0.00768174	0.00624406	0.0164797	0.00129717	0.00470014	0.00188493	0.00212384	0.0250843	0.00220238	0.0115891	0.0172864	0.00825793	0.000212694	0.00481855	0.0294793	0.00266695	0.0517653	0.00873026	0.0025813	0.00394795	0.0153366	0.00714616	0.00230907	0.00706411	0.00135138	0.00536324	0.00245651	0.00616011	0.0113811	0.0351742	0.000339068	0.017457	0.0118253	0.0133895	0.00381078	0.00134085	0.0082513	0.00367479	0.00989864	0.00839741	0.00456748	0.00596471	0.00106999	0.00689945	0.000941017	0.00424224	0.00602881	1.299415	1.854757	0.0554046	0.243907	0.64391	1.55301	4.09993	18.0491	2.091906	0.00191444	0.0379392	0.0160338	0.0161162	0.00414397	0.00114366	0.000416961	0.0181504	0.0279669	0.00162078	0.0103561	0.00385746	0.00533187	0.00177856	0.00839267	0.0221553	0.0113404	0.00275862	0.0111774	0.0276157	0.00209874	0.00910145	0.0114185	0.0233665	0.00969765	0.0161805	0.0116639	0.00394998	0.000171657	0.006524	0.00292259	0.000805736	0.00142165	0.000291662	0.0121043	0.0177872	0.00665335	0.000594895	0.020463	0.00192203	0.00342934	0.00197025	0.00492718	0.00895686	0.0110562	0.00898699	0.0237191	0.001867	0.00676484	0.00271296	0.00305681	0.0361035	0.00316985	0.01668	0.0248801	0.0118855	0.000306128	0.00693527	0.0424292	0.0038385	0.0745051	0.0125653	0.00371523	0.00568223	0.0220738	0.0102854	0.00332341	0.0101673	0.00194502	0.00771923	0.00353562	0.00886616	0.0163807	0.0506258	0.000488016	0.0251256	0.01702	0.0192713	0.00548481	0.00192987	0.011876	0.00528908	0.014247	0.0120863	0.0065739	0.00858493	0.00154002	0.00993028	0.00135439	0.0061058	0.00867718	0.9581622	0.350293	0.649707	0.6947889
144	-438.5201	-593.8168	155.2968	0.00878674	0.0462634	0.0040118	0.00495353	0.00181542	0.00629141	0.00566014	0.0274237	0.0153486	0.0142075	0.0111799	0.00292398	0.0332488	0.00276244	0.00496177	0.0490617	0.000273734	0.0129432	0.0148224	0.0224799	0.0141342	0.0180339	0.016229	0.0115604	0.00115087	0.0248959	0.00692072	0.005969	0.0104789	0.00442318	0.00943741	0.000728985	0.000395746	0.00319606	6.28505e-05	0.000592739	0.0122935	0.0153557	0.00679852	0.0119148	0.00277721	0.0110843	0.0385828	0.00588046	0.0184636	0.0371225	0.070354	0.00869398	0.0279757	0.00014306	0.0121106	0.00561382	0.0725036	0.00800754	0.00270373	0.0681461	0.00668393	0.0201005	0.0320667	0.00833306	0.0907431	0.0293148	0.00601233	0.00433788	0.0173938	0.00466549	0.00600091	0.0223008	0.0542605	0.0180713	0.0320724	0.0546005	0.0143497	0.0104608	0.0233956	0.00257136	0.0160646	0.00739059	0.00131844	0.0460853	0.01432	0.0106129	0.0113507	0.131555	0.00188753	0.0402957	0.00480997	0.0193389	0.000621862	0.0731479	0.00779061	1.163909	1.392084	0.112266	0.344194	0.716954	1.39479	2.90534	8.90743	1.581269	0.00517329	0.0272381	0.00236199	0.00291645	0.00106885	0.00370414	0.00333247	0.016146	0.00903667	0.00836482	0.00658228	0.00172152	0.0195756	0.00162642	0.0029213	0.0288856	0.000161164	0.00762047	0.00872686	0.0132353	0.00832166	0.0106176	0.009555	0.00680632	0.000677588	0.0146578	0.00407465	0.00351432	0.00616958	0.0026042	0.00555638	0.000429198	0.000233	0.00188172	3.70039e-05	0.000348982	0.00723793	0.00904085	0.0040027	0.00701498	0.00163512	0.00652602	0.0227161	0.00346219	0.0108707	0.0218563	0.0414217	0.00511868	0.016471	8.42281e-05	0.00713027	0.0033052	0.0426873	0.00471453	0.00159185	0.0401218	0.00393524	0.0118344	0.0188796	0.00490618	0.053426	0.0172594	0.00353983	0.00255397	0.0102408	0.00274686	0.0035331	0.0131298	0.0319465	0.0106397	0.018883	0.0321466	0.00844854	0.00615893	0.0137744	0.00151392	0.00945825	0.00435129	0.000776245	0.0271333	0.00843106	0.00624849	0.00668286	0.0774545	0.00111131	0.0237246	0.00283192	0.011386	0.000366128	0.0430667	0.00458681	0.9766546	0.418046	0.581954	1.698481
180	-435.0472	-591.2409	156.1937	0.00616005	0.011344	0.00753132	0.00474413	0.00251733	0.000959747	0.0253077	0.00862534	0.00876669	0.00677474	0.0100296	0.00535906	0.0168233	0.00101043	0.00354562	0.0139784	0.000443055	0.0167285	0.0150263	0.0133027	0.0126449	0.0149509	0.0328064	0.00711658	0.000108527	0.00955912	0.00968582	0.00472586	0.0160169	0.00616839	0.00815803	0.0164937	0.00212116	0.000324362	0.000865095	0.0066791	0.0384833	0.0122988	0.00665283	0.00574463	0.00182995	0.00578939	0.00731926	0.00595845	0.0229541	0.00822309	0.0585188	0.00698365	0.0426761	0.0228837	0.0157616	0.00260369	0.0101753	0.00889354	7.96804e-05	0.0519895	0.00490869	0.00472588	0.0150877	0.00353729	0.022557	0.023038	0.000888404	0.00767079	0.0187821	0.00393431	0.00100915	0.00515561	0.0378533	0.00276092	0.0296945	0.0397167	0.0212034	0.00428446	0.00424276	0.00142802	0.00867526	0.00466725	9.87323e-05	0.0125775	0.0157908	0.00941351	0.00450267	0.0642797	0.00444877	0.0264634	0.00452301	0.0267852	0.00185189	0.0810671	0.0136697	0.850855	0.7404244	0.0652161	0.264094	0.660084	1.51496	3.78654	15.3336	1.974014	0.00515694	0.00949677	0.00630491	0.00397159	0.0021074	0.000803462	0.0211865	0.00722079	0.00733912	0.00567154	0.00839637	0.00448639	0.0140838	0.000845892	0.00296825	0.0117022	0.000370908	0.0140044	0.0125794	0.0111365	0.0105858	0.0125163	0.0274642	0.00595771	9.08545e-05	0.00800251	0.00810858	0.0039563	0.0134087	0.00516393	0.00682957	0.0138079	0.00177575	0.000271542	0.000724222	0.00559147	0.0322166	0.0102961	0.00556948	0.00480917	0.00153196	0.00484664	0.00612739	0.00498818	0.0192163	0.00688404	0.0489895	0.00584643	0.0357267	0.0191573	0.0131949	0.0021797	0.00851835	0.00744531	6.67052e-05	0.0435235	0.00410935	0.00395631	0.0126308	0.00296128	0.0188838	0.0192865	0.000743736	0.00642167	0.0157236	0.00329365	0.000844815	0.00431607	0.0316893	0.00231133	0.024859	0.0332492	0.0177507	0.00358678	0.00355186	0.00119548	0.00726258	0.00390723	8.26547e-05	0.0105293	0.0132194	0.00788061	0.00376945	0.0538124	0.00372433	0.022154	0.00378648	0.0224235	0.00155033	0.0678661	0.0114437	1.022234	0.574572	0.425428	1.194516
216	-429.373	-585.2512	155.8782	0.0135573	0.0173243	0.000611068	0.00701154	0.0115647	0.00182667	0.00270588	0.0139091	0.00314777	0.00417048	0.00320794	0.00492525	0.0107959	0.00202451	0.00601282	0.0156296	0.00252594	0.0126148	0.014385	0.012672	0.00610949	0.00747917	0.0125601	0.0108818	0.00367473	0.00719804	0.00229426	0.00206199	0.00798674	0.0028488	0.00263987	0.0068475	3.40599e-05	0.00451202	0.000747744	0.0048637	0.00905199	0.00429418	0.00503472	0.0043543	0.000190207	0.0103844	0.00970174	0.00146848	0.00229069	0.00621756	0.0396234	0.00204768	0.011581	0.0153185	0.0128325	0.0074429	0.0198984	0.00430549	1.00716e-05	0.0162175	0.048224	0.0121683	0.00268395	0.0034057	0.0171855	0.0125722	0.00227935	0.0042954	0.00390847	0.0186443	0.000433101	0.00127941	0.0207707	0.0077916	0.0160694	0.020444	0.0203351	0.0236118	0.022915	0.0229456	0.0103333	6.00295e-05	0.000453551	0.010209	0.00665679	0.00303649	0.00563783	0.0884295	0.00271206	0.0119147	0.0151082	0.00748861	0.000101398	0.00656549	0.0145653	1.146589	1.343538	0.0622168	0.258099	0.655372	1.52585	3.87449	16.0728	2.008056	0.0152182	0.0194466	0.000685927	0.0078705	0.0129814	0.00205045	0.00303737	0.0156131	0.00353339	0.00468139	0.00360093	0.00552863	0.0121185	0.00227252	0.00674943	0.0175443	0.00283539	0.0141602	0.0161472	0.0142244	0.00685794	0.00839541	0.0140988	0.0122149	0.00412491	0.00807985	0.00257533	0.0023146	0.00896516	0.0031978	0.00296327	0.00768636	3.82325e-05	0.00506477	0.000839347	0.00545954	0.0101609	0.00482024	0.0056515	0.00488773	0.000213509	0.0116566	0.0108903	0.00164838	0.00257132	0.00697925	0.0444776	0.00229853	0.0129997	0.0171952	0.0144045	0.0083547	0.0223361	0.00483295	1.13054e-05	0.0182042	0.0541318	0.013659	0.00301276	0.00382292	0.0192908	0.0141124	0.00255858	0.00482161	0.00438728	0.0209283	0.000486159	0.00143614	0.0233152	0.00874612	0.018038	0.0229485	0.0228263	0.0265044	0.0257222	0.0257566	0.0115992	6.73835e-05	0.000509114	0.0114597	0.00747229	0.00340848	0.0063285	0.0992627	0.0030443	0.0133744	0.0169591	0.00840602	0.00011382	0.00736981	0.0163496	0.9790698	0.426705	0.573295	0.8908632
252	-436.2786	-592.6297	156.3511	0.00292422	0.0270514	0.011353	0.0157658	0.0038288	0.00653225	0.00455348	0.00465018	0.00915523	0.000749567	0.0105997	0.00587351	0.0428935	0.00604928	0.00860637	0.00762768	0.00125027	0.0123037	0.00692655	0.0462833	0.00972254	0.00242156	0.00169302	0.0167546	0.00957828	0.0329997	0.0166553	0.000309635	0.0163246	0.00360624	0.00362038	0.0124064	4.41523e-05	0.0381385	0.00944866	0.00346515	0.00498514	0.00627237	0.000853466	0.00530332	0.0191469	0.00607554	0.00577677	0.00587422	0.00536484	0.0153737	0.0667236	0.0248586	0.0106382	0.00659362	0.0146675	0.00479936	0.0216274	0.00363623	0.000279148	0.0124294	0.0720465	0.0146025	0.00484139	0.0133176	0.039729	0.0125906	0.0149878	0.00713581	0.0068563	0.0161459	0.00126115	0.00927831	0.00975421	0.00303144	0.0192162	0.027889	0.0381736	0.0194417	0.0333435	0.0328188	0.00278351	0.000837589	0.000287142	0.0258149	0.00441945	0.020733	0.00282973	0.161625	0.00752938	0.041816	0.0451147	0.00672886	0.00216411	0.00384846	0.012188	0.6756376	0.5101606	0.0716364	0.276469	0.669582	1.49347	3.61705	13.9594	1.906119	0.00210584	0.0194807	0.00817568	0.0113535	0.00275726	0.00470411	0.00327913	0.00334876	0.00659301	0.00053979	0.00763326	0.00422972	0.0308892	0.0043563	0.00619776	0.00549297	0.000900368	0.00886033	0.00498806	0.0333303	0.00700155	0.00174385	0.00121921	0.0120656	0.00689766	0.0237643	0.0119941	0.000222979	0.0117559	0.00259698	0.00260716	0.00893429	3.17957e-05	0.0274649	0.00680432	0.00249538	0.00358998	0.00451696	0.000614611	0.00381911	0.0137883	0.00437521	0.00416006	0.00423023	0.00386342	0.0110711	0.04805	0.0179016	0.00766096	0.0047483	0.0105626	0.00345619	0.0155747	0.00261858	0.000201025	0.00895088	0.0518833	0.0105158	0.00348646	0.00959047	0.0286103	0.00906695	0.0107932	0.00513875	0.00493747	0.0116273	0.000908198	0.00668164	0.00702436	0.00218305	0.0138383	0.0200839	0.0274902	0.0140007	0.0240118	0.023634	0.0020045	0.000603178	0.000206781	0.0185902	0.0031826	0.0149306	0.00203779	0.116392	0.00542217	0.0301132	0.0324887	0.0048457	0.00155845	0.00277141	0.00877703	1.049652	0.662181	0.337819	1.388627
288	-440.8436	-597.7891	156.9454	0.00540253	0.0603814	0.00106525	0.0151868	0.00895753	0.00427985	0.0108952	0.0105583	0.0282113	0.00677278	0.00108044	0.00270787	0.00767374	0.000578608	0.0059976	0.0327667	0.0245446	0.00422133	0.0333178	0.00761288	0.000898125	0.000364358	0.00016291	0.0185044	0.00146231	0.00695517	0.00700197	0.00157735	0.00850833	0.00113867	0.0124587	0.00770613	0.0156011	0.0313494	0.00859595	0.0112781	0.00019534	0.0164699	0.00499472	0.00367543	0.0169392	0.0106222	0.00518037	0.00390871	0.00349311	0.00807562	0.0200405	0.0254492	0.0844208	0.00552257	0.0251702	0.000430252	0.0118182	0.0498234	0.00793682	0.00454092	0.0057548	0.022169	0.000257145	0.0169308	0.000906482	0.0850857	0.0092166	0.0153287	0.0291977	0.00294639	0.0041147	0.0719379	0.00935463	0.0181097	0.0287584	0.0266937	0.0160561	0.00506685	0.0127662	0.00270644	0.0085182	0.000968747	0.00488154	0.00933763	0.00497415	0.00158916	0.00760325	0.0338121	0.0175759	0.00903221	0.00414007	0.00367154	0.00855253	0.00423995	0.0014776	0.5449412	0.3745149	0.086855	0.303702	0.689498	1.45033	3.2927	11.5134	1.76683	0.00443479	0.0495655	0.000874437	0.0124665	0.00735299	0.00351321	0.00894356	0.00866705	0.0231579	0.00555959	0.000886906	0.00222281	0.00629916	0.000474964	0.00492327	0.0268973	0.020148	0.00346517	0.0273497	0.0062492	0.000737246	0.000299091	0.000133729	0.0151898	0.00120037	0.00570931	0.00574772	0.0012948	0.00698426	0.000934702	0.010227	0.00632575	0.0128065	0.0257339	0.00705618	0.00925792	0.000160349	0.0135197	0.00410003	0.00301706	0.013905	0.00871947	0.00425242	0.00320855	0.0028674	0.00662905	0.0164507	0.0208906	0.0692987	0.00453333	0.0206616	0.000353182	0.00970121	0.0408987	0.00651512	0.00372752	0.00472396	0.0181979	0.000211083	0.013898	0.000744107	0.0698445	0.00756565	0.0125829	0.0239676	0.00241861	0.00337764	0.0590519	0.00767896	0.0148657	0.023607	0.0219122	0.0131801	0.00415924	0.0104794	0.00222165	0.00699236	0.000795218	0.00400712	0.007665	0.00408315	0.0013045	0.0062413	0.0277554	0.0144276	0.0074143	0.00339847	0.00301387	0.00702054	0.00348046	0.00121292	1.07108	0.727529	0.272471	1.218216
324	-441.2012	-598.0358	156.8346	0.0036759	0.0335672	0.00461952	0.0160549	0.00424093	0.00762086	0.018577	0.00812771	0.00894211	0.00173212	0.00288925	0.011315	0.0298471	0.000130972	0.00203793	0.00897725	0.00501851	0.0134065	0.00513992	0.0170607	0.00159679	0.00411508	0.00293109	0.0196649	0.00163463	0.0384715	0.00355723	0.00094036	0.0087546	0.00278508	0.00693259	0.00863649	0.00648432	0.0171069	0.000186788	0.00931422	0.000101957	0.00685023	0.00287195	0.000142073	0.00380685	0.000579323	0.0122985	0.00464351	0.0161515	0.0108311	0.028479	0.0218207	0.0336605	0.0102465	9.41714e-05	0.0036953	0.00578624	0.011274	0.0037537	0.00303529	0.00708236	0.0121645	3.16315e-05	0.0134824	0.00187682	0.0479718	0.0158228	0.0063692	0.0610517	0.0225941	0.00209011	0.00695849	0.0116969	0.00793445	0.0340056	0.00629869	0.0193618	0.00147027	0.00312008	0.0118389	0.00971928	0.00463891	0.00400205	0.00195492	0.00686492	0.000897079	0.0052228	0.00418643	0.0226738	0.0156698	0.000936602	0.0227929	0.00656558	0.00651328	0.0157723	0.7557201	0.6073554	0.0849492	0.300433	0.687175	1.45523	3.32852	11.7717	1.782872	0.0039195	0.0357916	0.00492565	0.0171188	0.00452198	0.00812589	0.0198081	0.00866632	0.0095347	0.0018469	0.00308072	0.0120648	0.031825	0.000139651	0.00217298	0.00957217	0.00535108	0.0142949	0.00548053	0.0181913	0.0017026	0.00438778	0.00312533	0.020968	0.00174295	0.041021	0.00379297	0.00100268	0.00933476	0.00296965	0.00739201	0.00920883	0.00691403	0.0182406	0.000199166	0.00993147	0.000108714	0.00730419	0.00306227	0.000151488	0.00405913	0.000617714	0.0131135	0.00495123	0.0172218	0.0115488	0.0303662	0.0232667	0.0358912	0.0109255	0.000100412	0.00394018	0.00616969	0.0120211	0.00400245	0.00323644	0.0075517	0.0129707	3.37277e-05	0.0143759	0.00200119	0.0511509	0.0168713	0.00679129	0.0650976	0.0240914	0.00222862	0.00741962	0.012472	0.00846026	0.0362591	0.0067161	0.0206449	0.0015677	0.00332685	0.0126235	0.0103634	0.00494633	0.00426726	0.00208447	0.00731986	0.000956528	0.00556891	0.00446386	0.0241764	0.0167082	0.00099867	0.0243034	0.00700068	0.00694491	0.0168175	1.03694	0.62214	0.37786	0.9378493
